name,region,grape_primary,year,provinces
Aglianico del Vulture DOC,1. L'area del Vulture,,,
Aglianico del Vulture Superiore DOCG,1. L'area del Vulture,,,
Terre dell'Alta Val d'Agri DOC,2. L'alta val d'Agri,,,
Grottino di Roccanova DOC,3. L'area di Roccanova,,,
Matera DOC,4. Il Materano,,,
