name,region,grape_primary,year,provinces
Cirò DOC,1. Cirotano,,,
Melissa DOC,1. Cirotano,,,
Sant'Anna Isola di Capo Rizzuto DOC,1. Cirotano,,,
Greco di Bianco DOC,2. Locride,,,
Bivongi DOC,2. Locride,,,
Terre di Cosenza DOC,3. Consentino,,,
Savuto DOC,4. Lametino,,,
Lamezia DOC,4. Lametino,,,
Scavigna DOC,4. Lametino,,, 
