name,color,origin_region
Barbera,,
Cabernet,,
Cabernet Sauvignon,,
Carignan,,
Chardonnay,,
Malbec,,
Merlot,,
Palomino,,
Pinot bianco,,
Pinot Meunier,,
Riesling,,
Sauvignon,,
Sylvaner,,
Syrah,,
