name,region,grape_primary,year,provinces
Colli Pesaresi DOC,,,,
Bianchello del Metauro DOC,,,,
Pergola DOC,,,,
Verdicchio dei Castelli di Jesi DOC,,,,
Lacrima di Morro d'Alba DOC,,,,
Verdicchio di Matelica DOC,,,,
Esino DOC,,,,
Rosso Conero DOC,,,,
Serrapetrona DOC,,,,
I Terreni di San Severino DOC,,,,
San Ginesio DOC,,,,
Colli Maceratesi DOC,,,,
Rosso Piceno DOC,,,,
Colli del Tronto DOC,,,,
Falerio DOC,,,,
Terre di Offida DOC,,,,
Conero DOCG,,,,
Castelli di Jesi Verdicchio Riserva DOCG,,,,
Verdicchio di Matelica Riserva DOCG,,,,
Vernaccia di Serrapetrona DOCG,,,,
Offide DOCG,,,,
